section                          count  total_ms  mean_ms   max_ms
doSomeWork                        2428    8696.3     3.58     14.3
drainAndFeed                      2429    7624.5     3.14     13.8
DrawFrame                          359    4501.9    12.54     32.4
flush commands                     374     922.6     2.47      9.4
syncFrameState                     359     217.1     0.60      3.5
Choreographer#doFrame               40     203.0     5.08     58.2
prepareTree                        375     166.9     0.45      3.4
dispatchFrameCallbacks              23     150.7     6.55     15.4
prepareAndDraw                      16     147.7     9.23     15.4
traversal                           22     146.0     6.64     58.1
wmLayout                            11      75.7     6.89     26.1
android.os.Handler: com.android.server.wm.-$$Lambda$WindowSurfacePlacer$4Hbamt-LFcbu8AoZBoOZN_LveKQ     5      63.9    12.77     31.2
Bitmap#prepareToDraw 63x63          41      55.0     1.34      3.5
android.view.Choreographer$FrameHandler: android.view.Choreographer$FrameDisplayEventReceiver    18      54.3     3.02     16.1
animation                           11      52.7     4.79     16.0
draw                                21      34.7     1.65      9.9
relayoutWindow: com.sec.android.inputmethod     1      27.5    27.51     27.5
closeSurfaceTransaction             23      22.5     0.98      3.5
measure                              6      18.5     3.08      7.0
commitFinishDrawingLocked: com.sec.android.inputmethod     1      17.9    17.85     17.9
relayoutWindow: viewVisibility_1     2      17.8     8.90     17.7
createSurfaceControl                 2      17.2     8.61     17.2
new SurfaceControl                   1      16.9    16.91     16.9
WSA#applyAnimationLocked             2      16.8     8.40     16.8
layout                               5      15.6     3.12      7.4
providerRemove                       3      13.9     4.64      7.4
Record View#draw()                  21      10.7     0.51      3.7
relayoutWindow: tech.capullo.telecloudradio     1      10.3    10.29     10.3
created AnimationLeash               1      10.2    10.16     10.2
frameComplete 1                      1       8.6     8.60      8.6
notifyFramePending                 363       3.5     0.01      0.1
flush layers                         3       3.2     1.07      1.5
setSurface                           2       2.9     1.45      2.9
drainDisplayEventQueue              45       2.4     0.05      0.1
AssetManager::OpenXmlAsset(res/interpolator/sine_in_out_90.xml)     1       1.9     1.87      1.9
android.view.Choreographer$FrameHandler: #1     6       1.5     0.25      0.5
input                               22       1.5     0.07      0.3
Bitmap#prepareToDraw 47x47           1       1.2     1.22      1.2
android.os.Handler: com.android.server.wm.-$$Lambda$LocalAnimationAdapter$X--EomqUvw4qy89IeeTFTH7aCMo     1       1.1     1.12      1.1
openSurfaceTransaction              23       0.7     0.03      0.1
res/drawable-xxhdpi-v4/textinput_qwerty_candidate_btn_down.bmp     1       0.6     0.65      0.6
wm.reportResized_tech.capullo.telecloudradio/tech.capullo.telecloudradio.MainActivity     2       0.6     0.28      0.3
queue mFrameCallbackTask            23       0.6     0.02      0.0
alpha caused saveLayer 126x126      30       0.5     0.02      0.0
drawLayer [ViewLayer] 126.0 x 126.0     2       0.4     0.22      0.2
AssetManager::OpenXmlAsset(res/anim/input_method_enter_ux.xml)     1       0.4     0.41      0.4
AssetManager::OpenXmlAsset(res/interpolator/sine_in_out_33.xml)     1       0.3     0.33      0.3
traceStateLocked                    23       0.3     0.01      0.0
assignWindowLayers                   2       0.3     0.13      0.2
commitFinishDrawingLocked: tech.capullo.telecloudradio     2       0.2     0.10      0.2
drawLayer [NearestTouchFrame] 1080.0 x 126.0     1       0.2     0.17      0.2
relayoutWindow: updateOrientationFromAppTokens     2       0.2     0.08      0.1
AssetManager::OpenNonAsset(res/drawable-xxhdpi-v4/textinput_qwerty_candidate_btn_down.bmp)     1       0.1     0.10      0.1
alpha caused saveLayer 1080x126      1       0.0     0.00      0.0
